quantity;product-id-purchases;card-id-purchases;transaction-id-purchases;store-id-purchases
1;94851;9756012792;1;1
2;72849;9756012792;1;1
2;79330;9603984566;2;2
1;17523;9603984566;2;2
2;83257;3441362271;3;3
1;44676;6443839163;4;2
2;44087;6443839163;4;2
1;84426;6443839163;4;2
2;61665;6615582800;5;4
2;99732;6615582800;5;4
2;38662;6615582800;5;4
1;63319;4311693397;6;1
2;71810;1081048374;7;3
1;60126;1081048374;7;3
2;84713;7165343577;8;2
2;80906;7165343577;8;2
1;64218;9571103251;9;3
2;54130;9571103251;9;3
2;17776;1147762158;10;4
3;72849;8963667200;11;5
3;81896;8963667200;11;5
2;64218;8963667200;11;5
1;54130;5692796599;12;1
3;17776;5692796599;12;1
2;72849;6773497852;13;2
1;81896;6602910930;14;4
3;57733;6602910930;14;4
4;19660;1303458490;15;2
3;92670;5333445673;16;4
2;16734;9175974427;17;1
1;29599;9175974427;17;1
2;34891;5778300148;18;5
3;74971;9756012792;19;3
1;61877;9756012792;19;1
1;61674;9603984566;20;5
3;29599;9603984566;20;5
2;19660;6602910930;20;5
1;54130;3441362271;21;2
4;19660;3441362271;21;2
1;94851;6443839163;22;4
1;61877;6443839163;22;4
2;79330;6615582800;23;5
3;17523;4311693397;24;3
2;83257;4311693397;24;3
1;44676;4311693397;24;3
2;44087;1081048374;25;5
1;84426;7165343577;26;1
3;61665;7165343577;26;1
1;99732;9571103251;27;4
1;38662;9571103251;27;4
2;63319;9571103251;27;4
3;71810;1147762158;28;2
1;60126;8963667200;29;3
2;84713;8963667200;29;3
1;80906;5692796599;30;4
2;64218;6773497852;31;1
1;54130;6773497852;31;1
1;17776;6602910930;32;5
2;72849;1303458490;33;1
3;81896;1303458490;33;1
1;64218;5333445673;34;4
3;54130;9175974427;35;2
1;17776;5778300148;36;3
2;72849;5778300148;36;3
4;81896;7165343577;37;5
1;57733;7165343577;37;5
1;80906;6443839163;38;2
2;71810;6443839163;38;2
3;63319;6443839163;38;2
